source,target,t5_label,t5,actual
multilabel classification: nni_aio_set_synch() usually doesn't do anything --- The code for a normal completion (other than timeout) when nni_aio_set_synch() has been called does not actually cause the nni_aio_finish() code to complete the request synchronously.  This potentially leaves a lot of performance on the table.,performance,performance,1,1
multilabel classification: Allow the option to run a single Locust through the UI --- I would like to be able to choose which Locust to run through the UI. This would make it very easy to support having a large corpus of tests and have the option to only run a single one when it suits the user.     The core of this feature relies on the Locust class's `__name__` property. The `LocustRunner` holds a dict of `class.__name__` to `class` in `locust_classes_by_name` and provides a method to building that dict and a way of picking one with `filter_locusts_by_name`.    Right now this only supports running a single Locust or all of them. The web UI has a select that defaults to All:    ![image](https://user-images.githubusercontent.com/2565265/33097052-f373ee02-ced6-11e7-90cc-92c7ab5abc79.png)    And has a list of Locusts to run:    ![image](https://user-images.githubusercontent.com/2565265/33097105-0dfca764-ced7-11e7-8b03-b402f19a1c67.png)    The URL `/swarm` accepts `locust_class` in the POST body but defaults it to `all`. `all` in this case will be converted to `None` when p,feature,feature,0,0
"""multilabel classification: Support 'height', 'weight', 'width' road attributes --- Unrecognized values will be logged and ignored.""",feature,feature,0,0
"""multilabel classification: Restore originally requested URL using all HTTP methods: POST, HEAD... and not only GET --- """,feature,feature,0,0
multilabel classification: Adds ability to skip loading of cached dts in enumColladaForImport --- ,feature,feature,0,0
multilabel classification: Duplicate function track<Entity>ById when 2 relations with same entity --- ,bug,bug,0,0
multilabel classification: Check whether inline parsing can be speed up by using strpbrk() --- http://www.php.net/manual/en/function.strpbrk.php  other useful functions: - http://www.php.net/manual/en/function.strspn.php - http://www.php.net/manual/en/function.strstr.php - http://www.php.net/manual/en/function.strtok.php ,performance,performance,1,1
"""multilabel classification: Performance between rapidjson.FindMember and unordered_map find --- HI guys,    I meet one problem in my project when I try to substitute unordered_map.find with rapidjson.FindMember, the performance seems to be much worse. I am not sure why, dost FindMember with O(1) which I thought, so it seems to be same between FindMember and unordered_map?  Or is that related with key type, while unorderd_map uses integer and rapidjson uses string?    Thanks a lot""",performance,performance,1,1
"""multilabel classification: Move large and rare opcodes into NOINLINE helpers --- Move handling of the following opcodes into NOINLINE helpers to make the main dispatch function smaller and a bit better performing:    - INITSET and INITGET  - TRYCATCH  - ENDTRY  - ENDCATCH  - ENDFIN  - INITENUM and NEXTENUM    There are more potential opcodes for similar treatment, but these are quite clear cases.    Tasks:  - [x] Move opcodes to helpers  - [x] Check if a conditional NOINLINE improves footprint  - [x] Releases entry""",performance,performance,1,1
multilabel classification: Remove lingering Block allocation --- Turns out that as well as lazily allocating `Block` objects as of #1830 we're *also* allocating them on the hot path. 🙄 This removes that code.    I think this must have got screwed up in a rebase as I had a bunch of branches in flight at the time.,performance,feature,0,1
multilabel classification: Can't resolve modules which in sub node_modules after upgrade to 24.1.0 from 23.x --- ,bug,bug,0,0
multilabel classification: ESLint Angular JS issue with the latest Eslint version --- ,bug,bug,0,0
multilabel classification: Block area and roads per request --- We need a built-in functionality for the [forbiddenEdgeId-Weighting](https://github.com/graphhopper/graphhopper/blob/master/docs/core/weighting.md) to block an area or a list of lookups.    Currently this is only possible as a post processing step before the routing via the [overlay mechanism](https://github.com/graphhopper/graphhopper/pull/781)  ,feature,feature,0,0
"""multilabel classification: Maximize priority of nextTick --- Unroll ticks regardless of platform.  Use the highest priority event queue avaliable on each platform.  This should also address issues with Node's newly non-recursive nextTick.  #259.  Seems to have a problem with domains on NodeJS 0.8, but not 0.6 or 0.10. https://travis-ci.org/kriskowal/q/jobs/6231967  Needs cross browser testing. """,performance,performance,1,1
"""multilabel classification: grouping requests after redirect --- #228 asked a similar question, but I don't think it handles the use case where a request redirects.    I don't know what the redirect will look like in advance, so I can't skip it. But I'd like to group all those requests under one path, because the trailing segments are different for every locust. Adding `name=/fubar/` to the initial request didn't seem to do this. Is there another way?   Operationally, I think it would make sense to configure the client in `on_start` so that all requests matching some pattern will be reported as `/fubar/baz`. """,feature,feature,0,0
"""multilabel classification: [performance] Seq / LazySeq removeValue needs optimized --- Currently uses a Stream based optimization which is very slow.  Causes a knock on effect when using mergeMap with a max concurrency level above 1 (as each ActiveSubscriber completing involves a stream removal and Seq recreation),""",performance,performance,1,1
"""multilabel classification: 增加 strict 参数来控制处理声母和韵母时是否严格遵循《汉语拼音方案》标准 --- 为了兼容旧版，目前默认  `strict=True`    当 `strict=True` 时根据 [《汉语拼音方案》](http://www.moe.edu.cn/s78/A19/yxs_left/moe_810/s230/195802/t19580201_186000.html) 的如下规则处理声母、在韵母相关风格下还原正确的韵母：    >    * 21 个声母：b 	p 	m 	f 		d 	t 	n 	l g 	k 	h 			j 	q 	x zh 	ch 	sh 	r 		z 	c 	s （**y，w 不是声母**）  >    * i行的韵母，前面没有声母的时候，写成yi(衣)，ya(呀)，ye(耶)，yao(腰)，you(忧)，yan(烟)，yin(因)，yang(央)，ying(英)，yong(雍)。         （**y 不是声母**）  >    * u行的韵母，前面没有声母的时候，写成wu(乌)，wa(蛙)，wo(窝)，wai(歪)，wei(威)，wan(弯)，wen(温)，wang(汪)，weng(翁)。        （**w 不是声母**）  >    * ü行的韵母，前面没有声母的时候，写成yu(迂)，yue(约)，yuan(冤)，yun(晕)；ü上两点省略。         （**韵母相关风格下还原正确的韵母 ü**）  >    * ü行的韵跟声母j，q，x拼的时候，写成ju(居)，qu(区)，xu(虚)，ü上两点也省略；           但是跟声母n，l拼的时候，仍然写成nü(女)，lü(吕)。          （**韵母相关风格下还原正确的韵母 ü**）  > * iou，uei，uen前面加声母的时候，写成iu，ui，un。例如niu(牛)，gui(归)，lun(论)。        （**韵母相关风格下还原正确的韵母 iou，uei，uen**）    对于类似 https://github.com/mozillazg/python-pinyin/issues/64 https://github.com/mozillazg/python-pinyin/issues/27 的问题，如果想要把 `y, w` 当作声母或者不在乎原始的韵母是什么，可以在调用相关函数时传入关键字参数 `strict=False` 即可。""",feature,feature,0,0
multilabel classification: Allow CasClient to use custom parameters when building callback urls --- ,feature,feature,0,0
multilabel classification: Can't  install other generators from the JHipster Marketplace + blank page for client project  --- ,bug,bug,0,0
"""multilabel classification: Provide type short name function --- `@JSONType` is configured on the class name, but this invades the domain, is there a way to configure it on Config Class?    Form a form like `Config.register(Class clazz, String shortName)`.    When serializing and deserializing, fastjson can match according to the configured short name.""",feature,feature,0,0
"""multilabel classification: Multiple, irrelevant GET Requests on elastic search with an infinite scroll. --- """,bug,bug,0,0
"""multilabel classification: Pub/Sub very slow compared with nanomsg --- ## NNG & Platform details.  nng version 1.0.1 - Fedora 28 - C++    I used the pub/sub pattern and measured peak message throughput of 35k messages per second with an average of 20k messages per second. Using exactly the same code, only replacing the nng specific code with nanomsg I get about 1M messages per second which is not brilliant either but I have made no attempts at optimization so that's fine.    I was very surprised by the difference in performance, am I missing something obvious here?    P.S. I just used the code from the examples both for nanomsg and nng.  """,performance,performance,1,1
multilabel classification: Allow the option to run a single Locust through the UI --- I would like to be able to choose which Locust to run through the UI. This would make it very easy to support having a large corpus of tests and have the option to only run a single one when it suits the user.     The core of this feature relies on the Locust class's `__name__` property. The `LocustRunner` holds a dict of `class.__name__` to `class` in `locust_classes_by_name` and provides a method to building that dict and a way of picking one with `filter_locusts_by_name`.    Right now this only supports running a single Locust or all of them. The web UI has a select that defaults to All:    ![image](https://user-images.githubusercontent.com/2565265/33097052-f373ee02-ced6-11e7-90cc-92c7ab5abc79.png)    And has a list of Locusts to run:    ![image](https://user-images.githubusercontent.com/2565265/33097105-0dfca764-ced7-11e7-8b03-b402f19a1c67.png)    The URL `/swarm` accepts `locust_class` in the POST body but defaults it to `all`. `all` in this case will be converted to `None` when p,feature,feature,0,0
"""multilabel classification: Basic OpenVR Support code --- Adds basic OpenVR support. This also includes support for rendering controllers based on OpenVR data, though this is as of yet incomplete as there are no hooks for the button input.  Much like the oculus support, a script is also provided to handle setting up control input. However this is not hooked in by default for this PR.  The intention of this PR is more to add the support code to the engine and as a basis for identifying regressions with future dx11/gl changes. """,feature,feature,0,0
multilabel classification: Reloading an entity page causes the the menu item labels on the navbar to mysteriously change to attribute names --- ,bug,bug,0,0
multilabel classification: Gateway should not proxy to microservice when token is missing --- ,bug,bug,0,0
"""multilabel classification: Expose StubbingLookupListener publicly and create listener distinction --- Make StubbingLookupListener public. Originating ticket: #770    As a rule of a thumb we try to expose the internal APIs that the top level features are built upon. Since StubbingLookupListener is useful for us to implement strictness, let's get the former exposed as public API. This way we build stronger framework with the concept of onion skin API.""",feature,feature,0,0
multilabel classification: OAuth2 documentation is not generated anymore in the README.md since v5.6.0 --- ,bug,bug,0,0
multilabel classification: Bug? Strange behaviour using manual mocks with requestActual with npm packages --- ,bug,bug,0,0
multilabel classification: Deploy on Cloud Foundry using mongoDB (mongolab) does not create seed data --- ,bug,bug,0,0
multilabel classification: Active state for Administartion Tab in UI is not working --- ,bug,bug,0,0
"""multilabel classification: Set textures as bitmapctrl in script --- A new method to GuiBitmapCtrl in order to set named textures as the image displayed in script. Those named textures are created in two places from script (not c++) that I know: as part of GuiOffscreenCanvas (targetName field) and, more useful, as the target of a PostEffect using target = #name (the '#' symbol is not used for this method).  Using a shader in PostEffect (hlsl or glsl) you can rotate images and use masks (texture[0] and texture [1]) and this function allows to display easily that result.  The problem I find is that you need to re-call the method if the texture changes.  Example (directx): Add this maptest.cs (and exec() it somewhere, of course)    In the same folder add: ····mapV.hlsl···· (note: ansi file)    ····mapP.hlsl····(note: ansi file)    Download and name this image map.png: http://i.imgur.com/R1LCLG8.png Download and name this image mask.png: http://i.imgur.com/TCUL2vU.png  Add both images to the same folder, too.  Finally, run the full template game and create """,feature,feature,0,0
"""multilabel classification: Add a minimal implementation of activation/catcher freelists --- Add a very barebones first implementation of activation/catcher freelists, with a very simple logic:  - When allocating, check the freelist first; if not found, use normal allocation.  - When freeing, always queue to the freelist with no upper limit.  - In mark-and-sweep free all entries in the freelist, which periodically gets rid of excess entries.  - In heap destruction, free all entries in the freelist.    A better approach would be to keep track of the freelist size and when freeing an element free it directly if there are already enough entries in the freelist. This is not intentionally done here; the goal of the pull is to bring master into a good baseline after duk_catcher/duk_activation rework, and subsequent pulls will refine the freelist/pooling implementation.    Tasks:  - [x] Rebase once #1487 is merged  - [x] Initial implementation  - [x] Add config option - freelist is not needed on low memory targets (or other targets) with a very efficient pool allocator  - [x] Perform""",performance,performance,1,1
multilabel classification: [DepShield] (CVSS 7.4) Vulnerability due to usage of lodash.sortby:4.7.0 in Jest 24.1.0 --- ,bug,bug,0,0
"""multilabel classification: Turncost for Contraction Hierarchies --- This is a first try of an implementation of turncost support for contraction hierarchies and should fix #270. This code is highly experimental and certainly needs some work.  What works:  - Basic support for turn costs, based on this paper: https://pdfs.semanticscholar.org/4aa9/65d323ccb8b9e7c71de77f910900ff69a773.pdf  - An edge-based, trun-cost respecting version of DijkstraOneToMany. The idea is based on this pull request: https://github.com/graphhopper/graphhopper/pull/394  However, it has mostly been reimplemented based on this code, as there were too many conflicts when trying to merge the pull request into a current master.    Caveats:  - The implementation only supprts a single p-turn at a node. In rare cases, mutliple p-turns might work, but that is highly dependent on the order of node contraction. To understand the issue, assume the following graph:  ![grafik](https://cloud.githubusercontent.com/assets/1858945/21260080/a7577218-c384-11e6-9da9-76d478a945be.png)  Assume that co""",feature,feature,0,0
"""multilabel classification: Improvement for roundtrip calculation --- This PR improves the integration of pull request #582. You can try this out via appending `&algorithm=roundTrip&round_trip.seed=0&round_trip.distance=10000&routing.flexibleMode.force=true` to the URL. Change the seed to introduce some randomness.  The separation seems to work and the round trip looks (still) good :)  ![car-good](https://cloud.githubusercontent.com/assets/129644/14851140/3a68897a-0c7e-11e6-8010-326cdfec4b10.png)  I have created an interface RoutingTemplate and there are 3 implementations: via routing, round trip and alternative. The implemetations are stateful and not thread-safe (which both does not really matter), I could also get rid of the AlgorithmControl.  Also the `algorithm=roundtrip|alternativeRoute` is now a bit fake as it should more be something like `routing_template=roundtrip|alternativeRoute` and then we would have the option to additionally control the used algorithm under the hood. For now I vote to keep it as it is and let the roundtrip implementation """,feature,performance,1,0
"""multilabel classification: fastjson序列化ByteBuffer的问题 --- 1. 我的测试代码是      我使用的fastjson的代码是1.2.56版本    出现的异常是          com.alibaba.fastjson.JSONException: write javaBean error, fastjson version 1.2.56, class java.nio.HeapByteBuffer, method : getDouble    	at com.alibaba.fastjson.serializer.JavaBeanSerializer.write(JavaBeanSerializer.java:523)  	at com.alibaba.fastjson.serializer.JavaBeanSerializer.write(JavaBeanSerializer.java:160)  	at com.alibaba.fastjson.serializer.JSONSerializer.write(JSONSerializer.java:285)  	at com.alibaba.fastjson.JSON.toJSONString(JSON.java:731)  	at com.alibaba.fastjson.JSON.toJSONString(JSON.java:669)  	at com.alibaba.fastjson.JSON.toJSONString(JSON.java:634)  	at com.zhaopin.testcase.fastjson.FastJsonCodec.test(FastJsonCodec.java:19)  	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)  	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)  	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)  	at java.lang.reflect.Method.invoke(Method.jav""",feature,bug,0,0
multilabel classification: New table naming strategy makes the tests fail on the sample application --- ,bug,bug,0,0
multilabel classification: Dependency console log is shown before the generator options --- ,bug,bug,0,0
multilabel classification: ALT algorithm for a more dynamic speed up --- I've developed over the last months a new speed up algorithm (actually the initial prototype was done in a day ;))    Enable with:  - `prepare.lm.weightings=fastest` in the config.properties  - append `&ch.disable=true` if CH is enabled    The speedup is 17x faster compared to the fastest flexible algorithm (A* with a distance estimate) for German wide random requests and 16 landmarks. It is 25x faster with 32 landmarks.    The per-request memory improvements are in a similar range i.e. ~X times faster means ~X times less visited nodes. The static memory requirements are comparable to CH for world wide case and 16 landmarks. More memory for more landmarks.    Some other good properties are:  - Optimal routes. 'heuristical nature' can be introduced but yields only a minor speedup (e=1.3) and if epsilon similar chosen like suggested in #506 (e=1.6) it is even much worse.  - The LM preparation can be parallelized and should be possible within a few minutes even for world wide coverage  - ,feature,performance,1,0
multilabel classification: Error in the location response when creating an asset leading to performance test failures --- ,bug,performance,1,0
"""multilabel classification: Add Average Speed as PathDetails to Response --- Fixes #439.    I added the possibility to view details of the calculated as proposed in #439. It should be very easy to extend so we can add different details.     The calculation of the PathDetails is a bit similar to Instructions and maybe in the future we might find that it makes sense to merge them, but not now.    I haven't measured the performance yet, but I can do this if you like the general approach.    Simplification is disabled when adding PathDetails right now.    Right now I don't like two things:  - The data structure, not an issue right now, but maybe if we output osm ids for continental requests? Also see the conversion in the SimpleRouteSerializer. I think, wrapping the PathDetails in a Map again, might be more efficient. Overall it is a bit too much map usage IMHO, but it seems like the right data structure ;).  - The initialization happens in the GraphHopper class, right now not an issue, but once we have more details, we might want to move this somewhere else.     F""",feature,performance,1,0
multilabel classification: Microservices with oauth2 auth and ManyToOne relationship to User with services fail to compile. --- ,bug,bug,0,0
multilabel classification: Tomcat 8 warning: org.apache.catalina.webresources.Cache.getResource Unable to add the resource --- ,bug,bug,0,0
"""multilabel classification: Adds some starting gameObject recreations of various legacy game classes --- Adds some in-progress gameObject recreation of various legacy game classes, such as PlayerObject, AIPlayerObject, Sound Emitter and Static Shape. As well as a simplified way to create them via the AssetDefinitions""",feature,feature,0,0
"""multilabel classification: Faster case insensitive RegExp canonicalization --- Case insensitive RegExp canonicalization needs to normalize a range `[A,B]` of codepoints into a set of normalized ranges. Conceptually each codepoint in the input range is normalized, and the result is one or more ranges. Currently the range is normalized at RegExp compile time one codepoint at a time which is very slow especially because the normalization itself is also relatively slow.    This pull is to figure out a minimal way to speed up the case insensitive RegExp normalization without reworking the Unicode tables extensively.    - [x] Generate codepoint block skip table  - [x] Update algorithm to use skip table  - [x] Testcase: all 64k individual codepoint case insensitive regexps (this takes hours to run, so it's disabled by default)  - [x] Testcase: pin upper limit to both boundary values, run lower index, also cover boundary index for corner case block  - [x] Testcase: pin lower limit, run upper index  - [x] Testcase: all BLKSIZE-1, BLKSIZE, BLKSIZE+1 ranges  - [x] Testcase:""",performance,performance,1,1
multilabel classification: Unit test getAllEntities() fail for a Entity with more than 19 rows. --- ,bug,bug,0,0
multilabel classification: Bad interaction between using `jest.mock` returning mocks with implentation and the `resetMocks` configuration --- ,bug,bug,0,0
multilabel classification: Often properties proportional to the distance like the fuel consumption needs to be taken into account --- We create a new weighting `short_fastest` or similarly named ,feature,feature,0,0
multilabel classification: Jest breakpoints work 10% of the time (Typescript & Node 10) --- ,bug,performance,1,0
"""multilabel classification: Faster finalizer existence check in GC --- One bottleneck in refzero and mark-and-sweep handling is checking whether an object has an own or inherited _Finalizer property. This check walks the prototype chain and does a property lookup for every object. Because most objects don't have a finalizer, the entire prototype chain is typically walked to confirm there's no inherited finalizer.    Improve this behavior by adding a `DUK_HOBJECT_FLAG_HAVE_FINALIZER` flag to `duk_hobject`. The flag is set/cleared when the internal `_Finalizer` property is changed using `duk_set_finalizer()`. Direct property changes won't update the flag, but that's OK because `_Finalizer` is an internal property with opaque semantics (IOW, application shouldn't change it manually).    The flag allows a fast finalizer check by walking the prototype chain and only checking one flag per object instead of doing an actual property lookup.    - [x] Add `DUK_HOBJECT_FLAG_HAVE_FINALIZER` and `duk_hobject_has_finalizer_fast()`  - [x] Use `duk_hobject_has_finalizer_""",performance,performance,1,1
"""multilabel classification: Add an input text comment when confirming an action --- Hi , I want to add an input text in the confirm message like this  http://i.imgur.com/ScqBmGo.png """,feature,feature,0,0
"""multilabel classification: add more path details --- already possible:     - [x] street_name (important for navigation)   - [x] time (nice for ETA predictions e.g. if parts of the route were already travelled)   - [x] edge_id or traversal_key    later when more stuff is stored as edge properties:     - [ ] max_speed (very important for navigation)   - [ ] surface   - [ ] highway type (road_class)   - [ ] ferry,toll,.. (road_environment?)   - [ ] weight, height, ...   - [ ] inner vs. outer city""",feature,feature,0,0
"""multilabel classification: Asset browser initial --- The initial implementation pass for the Asset Browser, and relevant supporting changes to assets, modules, some UI controls, entities and components, and the editors.""",feature,feature,0,0
"""multilabel classification: Add initial alloc size to NEWOBJ opcode (object literals) --- Adding an initial size for property table reduces memory churn when the object literal is populated. The initial size is a good estimate and doesn't need to always match. For example, the value is capped at 255 due to opcode A field limitations, and will be too high if object literal contains duplicate keys.    Tasks:  - [x] NEWOBJ patching in compiler  - [x] NEWOBJ initial size in executor  - [x] Testcase coverage for object literal sizes up to 1000 (covers capped 'A' case)  - [x] Perf test update for performance test of different object literal sizes  - [x] Releases entry  """,performance,performance,1,1
multilabel classification: Cannot read property 'coverageData' of null when trying to generate code coverage --- ,bug,bug,0,0
multilabel classification: Generating an entity with relationship to the User entity and with mapstruct option fails  --- ,bug,bug,0,0
multilabel classification: Adds the ability to define types of assets to be auto-loaded --- Adds the ability to define types of assets to be auto-loaded when the module is initialized.,feature,feature,0,0
multilabel classification: MongoDB tests : conflict port if mongodb instance is running --- ,bug,bug,0,0
multilabel classification: Ai turret clear ignore list --- Implements feature requested in issue #1271   Exposes the ability to clear the entire ai turret ignore list to Torquescript with the function clearIgnoreList()  ,feature,feature,0,0
"""multilabel classification: List of states and counties in path details --- I would like to be able to request administrative_regions in the details. So I can get a list of all administrative regions (coutries, states and counties) the route travels through.    This is something I haven't seen offered anywhere else, and something I've been looking for the last two years. I don't know how hard this is to implement, but the data should be easily available in OSM.""",feature,feature,0,0
"""multilabel classification: Introduce RoadClass, RoadEnvironment, CarMaxSpeed, Surface, Toll and more EncodedValues --- This PR shows how shared EncodedValues look like and how we populate them (via TagParsers). The prefix OSM indicates that such parsers can look differently for a different data source. A TagParser has not necessarily a one-to-one relationship to an EncodedValue. With the new mechanism we can have multiple EncodedValues and just one TagParser like e.g. for height, width and weight.    We likely need RoadClass, RoadEnvironment and a few more to be added by default. (As we could really need them for improving instructions, improving ETAs, finally fixing bugs like #713 for all vehicles, ...)    ![image](https://user-images.githubusercontent.com/129644/53579021-18859500-3b79-11e9-9be7-63ee1dee1142.png)    ![image](https://user-images.githubusercontent.com/129644/53954484-9fd18c00-40d6-11e9-9b43-2a4a3c3dc3c8.png)    The following EncodedValues are available as path detail and could be used to influence the routing for all vehicle profiles (see [removed AvoidWeighting](https://github.com/grap""",feature,feature,0,0
multilabel classification: Application doesnt load i18n files for 5 letter language codes --- ,bug,bug,0,0
"""multilabel classification: fast_parent_copy extremely slow (>1 minute) --- In jedi-vim, `fast_parent_copy` is called every time the cursor moves in insert mode, so it needs to be quick. I was getting an extreme amount of lag in some cases and tracked it down to this function. I measured its execution time and compared it to `deepcopy` and `fast_parent_copy` is usually faster, but when inserting text near the top of the linked file, `fast_parent_copy` is hundreds of times slower:    Here is the (somewhat contrived to demonstrate the problem) code that resulted in that timing: https://gist.github.com/wilywampa/37cbe9051edde8f74e32  Each paragraph with a new figure seems to exponentially increase the time `fast_parent_copy` takes to complete. """,performance,performance,1,1
"""multilabel classification: State change error when navigating to an entity page, when using enumerations and translation --- """,bug,bug,0,0
"""multilabel classification: Huge memory usage with caffe_converter --- @edgarriba noticed some huge memory usage importing caffe models via caffe_converter. I tested the difference of memory usage loading same models on caffe and on tiny-cnn via caffe-converter, here is my findings:  bvlc_reference_caffenet on Caffe: `Maximum resident set size (kbytes): 970476 (0.93 GB)` bvlc_reference_caffenet on Tiny-cnn via caffe_converter: `Maximum resident set size (kbytes): 6142244 (5.86 GB)`  VGG_small on Caffe: `Maximum resident set size (kbytes): 1224384 (1.17 GB)` VGG_small on Tiny-cnn via caffe_converter: `Maximum resident set size (kbytes): 10678848 (10.18 GB)`  @nyanp have you some idea on what causes this difference on RAM usage? @edgarriba is going to adapt the caffe_converter to work on the generic-computational-graph branch, so it would be preferable to fix this issue before replicate it on the new branch """,performance,performance,1,1
multilabel classification: Move session renewal to SessionStore instead of subclasses of DefaultCallbackLogic --- ,feature,feature,0,0
multilabel classification: OAuth Authentication won't allow some special characters in passwords --- ,bug,bug,0,0
multilabel classification: There should be a way to disable OpenCensus stats and tracing --- ,performance,feature,0,1
"""multilabel classification: atomics may be faster than locks --- There are a number of situations (reference counts, etc.) where perhaps we could use atomics instead of locks.  This may help reduce contention and increase performance.  In some of these cases (like bumping a reference count), we don't even care about the final result.""",performance,performance,1,1
"""multilabel classification: Hardware Skinning Support --- - Supports GL, D3D9 & D3D11 - Extends vertex formats & shadergen to support blend indices and weights - Adds basic support for using 4x3 matrices for shader constants - Supports software fallback """,feature,feature,0,0
multilabel classification: Thread dump on the metrics page is not working anymore --- ,bug,bug,0,0
multilabel classification: input::-moz-focus-inner not require on Firefox on Mobile I checked. --- ,feature,bug,0,0
"""multilabel classification: Add an allocation cache for small allocations --- Useful for targets with a slow or fragmenting allocator and where memory is not extremely tight:    For small allocations (say 8 to 128 bytes in 4-byte increments) maintain a cache of allocated memory blocks. When allocating N bytes (N <= 128), check if there is a freelist entry for N bytes (rounded up to 4). If so, use that memory block instead. Otherwise alloc normally. When freeing, queue the block to freelist. Mark-and-sweep could free excessive cached blocks and forcibly free cached blocks in emergency GC.""",performance,performance,1,1
"""multilabel classification: Improve Add::__hash__() and Mul::__hash__() --- This came up in gitter a while ago, but was not looked into.  Current implementation of `Add::__hash__()` orders the elements first and then hashes. A better algorithm would be to add the hashes together. Benchmarks would have to be run to see if there is any difference. """,performance,performance,1,1
"""multilabel classification: extra option for terrain block to disable the update of the basetexture --- This adds another checkbox in the terrain datablock in the editor, where you can disable the auto generation of the basetexture, which allows you to use a custom basetexture for the whole terrain. Terrain generation software often puts out a precalculated basetexture and with this option you can use it by just renaming it into level.basetex.png or whatever and the engine will use it and not overwrite it.""",feature,feature,0,0
"""multilabel classification: Speed issues with benchmarks --- I recently update vim-jedi, and with it, the jedi submodule,  and it broke. Before I used to have near instantaneous completion suggestions when I typed in a dot, but after the update, it all broke. Any type of dot completions either take very long, or they completely fail (with vim saying Omni completion pattern not found)    So I had a rough idea that, I was on jedi v0.9.0 (a few commits after the official tagging of 0.9.0), and then after update, i moved to v0.10.0.    I ran `git diff v0.9.0..v0.10.0` which generated this: [jedi-diff-oneline](https://gist.github.com/notpratheek/ca0e1a5b852224272ff4ba9d61c5f548/) diff. (the link points to a gist)    I went ahead and manually tested through quite a few number of commits and added a few markers for when a certain commit failed.    `-XXX-` (or `-X-`) --> indicates that the commit failed / broke the plugin  `-***-`  --> indicates that the commit works ! (triple asterisk)    (sorry for the weird markers ! 😅)    and @blueyed  had mentioned""",performance,performance,1,1
multilabel classification: mvn package -DskipTests=true -B -Pprod command executes gulp tests with PhantomJS where we expect all the tests not to be executed --- ,bug,bug,0,0
multilabel classification: Add support for linkedin client via properties. Add support for oidc scope --- ,feature,feature,0,0
"""multilabel classification: Don't use a fresh context manager on every debug call --- I was moderately surprised to discover that of all things `_settings.py` was now one of the allocation hotspots. This turns out to be because we are calling `local_settings` on every `debug` call in the engine, which is a bit hungrier than I thought it would be. 😳     Anyway, this PR fixes that. It's unlikely to have a *huge* impact, but it should have a small one, and gets this method out of the allocation reports which makes it easier to notice what's going on with other things.""",performance,performance,1,1
"""multilabel classification: 使用SerializeConfig与ParserConfig配置自定义解析器无效 --- 通过实现ObjectSerializer与ObjectDeserializer，对自定义枚举进行序列化，目前使用JsonField注解为每个类中的自定义枚举属性配置相关解析器是ok的。但是通过SerializeConfig.getGlobalInstance().put(Enum.class, new CustomEnumSerializer());  ParserConfig.getGlobalInstance().putDeserializer(Enum.class, new CustomEnumDeserializer());  后使用JSON.toJSONString时发现无法生效，这是什么原因？    看了源码，config在注册的时候是按照当前class的类型来作为key，所以配置Enum.class是无效的，那么有没有相关配置可以实现我的需求呢?""",feature,feature,0,0
multilabel classification: Snapshots for strings are sometimes being transformed into objects/arrays --- ,bug,bug,0,0
multilabel classification: Faster bufwriter growth for non-lowmem targets --- Use 25% spare instead of 6.25% spare on default (desktop) build.,performance,performance,1,1
multilabel classification: Bare .resolves and .rejects can no longer be awaited in node@10.15 --- ,bug,bug,0,0
multilabel classification: Tiny micro-optimisation to reduce allocation in start_example --- tracemalloc informs me that lots of allocation is happening at this line. I side eyed it a lot and then decided to just sigh and deal with it.,performance,performance,1,1
"""multilabel classification: The duration of routing for hiking / pedestrian doesn't make any distinction between ascent and descent --- Hi!    GraphHopper adds the elevation data since a few years and that's fantastic. Having the elevation for each of the points of the route is really a wonderful data very appreciated when calculating hiking routes.    However, it doesn't seem to take into account the elevation data when calculating the time / duration of the `Path` or `Instruction`. I realized about this, when I wanted to calculate the reversed path of a given route with 2000m of ascent, and 500m of descent. When calculating the reversed route (which has 500m of ascent and 2000m of descent), I saw that the time estimate was exactly the same.    At the beginning I thought that there was a bug in the time calculation process, and that it didn't show the correct time for reversed routes. But after doing some more tests, I can see that a 5km route, with barely no elevation, has the same time (60min) than a route with 300m or 400m of ascent.    I see that in the config.yml, there's a comment saying the following:    > # bi""",feature,performance,1,0
multilabel classification: Social authentication with Google doesn't work when translation is disabled --- ,bug,bug,0,0
multilabel classification: Hazelcast + Cucumber - Running tests in IDE throws an ApplicationContextException --- ,bug,bug,0,0
"""multilabel classification: feature request """"metrics( texture )"""" --- would be nice to have 👍     metrics( texture )    How many texture loaded, texture memory.... """,feature,feature,0,0
multilabel classification: one-to-one relationship: Wrong $scope variable generated in entity dialog controller --- ,bug,bug,0,0
multilabel classification: CSS fails to load at first launch with Gulp --- ,bug,bug,0,0
multilabel classification: Separate dedicated server from engine --- Like issue say :) ,feature,feature,0,0
